psu_id,priority_level,mapgrid_nr,lat_degrees,lon_degrees,strat,prot,mpa_nr,psu_depth,subregion_nr,habitat_cd,depth_class,rugosity_class,strat_nr
2689,2,445823,24.6213467,-82.9873039,DT08,2,0,29.8,4,REEF_HR,D3,R4,21
2692,2,266244,24.5644504,-82.9543232,DT08,2,0,22.6,4,ISOL_MR,D3,R3,21
2690,2,287738,24.5718264,-82.9771434,DT08,2,0,22.5,4,ISOL_LR,D3,R4,21
2694,2,406453,24.6094952,-82.996004,DT08,2,0,31.7,4,REEF_MR,D3,R3,21
2693,2,391465,24.6049821,-82.9959323,DT08,2,0,28.3,4,CONT_HR,D3,R4,21
2695,2,554171,24.6533785,-82.9542241,DT08,2,26,22.3,4,CONT_HR,D3,R4,22
2696,2,571451,24.6584839,-82.9434367,DT08,2,26,22.5,4,ISOL_HR,D3,R4,22
2704,2,665208,24.7138283,-82.775779,DT09,2,0,24.6,4,CONT_MR,D3,RU,23
2698,2,677699,24.7223631,-82.7793598,DT09,2,0,22.4,4,CONT_MR,D3,RU,23
2703,2,241791,24.5553021,-82.9635586,DT09,2,0,24.7,4,CONT_LR,D3,RU,23
2701,2,270005,24.5658619,-82.9499029,DT09,2,0,22.2,4,ISOL_LR,D3,RU,23
2705,2,507732,24.641887,-82.7895775,DT09,2,26,22,4,SPGR_HR,D3,RU,24
2717,2,526035,24.6451262,-82.9639735,DT09,2,26,22,4,CONT_LR,D3,RU,24
2707,2,526052,24.6452357,-82.955579,DT09,2,26,22,4,CONT_LR,D3,RU,24
2706,2,581667,24.6617324,-82.9365716,DT09,2,26,25.4,4,ISOL_HR,D3,RU,24
2729,2,640603,24.6953079,-82.9924285,DT07,1,24,25.4,3,ISOL_MR,D3,R2,7
2730,2,635689,24.692175,-82.9904024,DT07,1,24,27.8,3,CONT_LR,D3,R1,7
2731,2,606247,24.6731023,-82.9989914,DT07,1,24,23.8,3,CONT_LR,D3,R1,7
2732,2,569793,24.6574641,-82.9868877,DT07,1,24,32.3,3,CONT_LR,D3,R2,7
2733,2,630818,24.6892961,-82.9691119,DT07,1,24,32.5,3,CONT_LR,D3,R2,7
2734,2,656638,24.7057729,-82.9861714,DT07,1,24,27.3,3,CONT_LR,D3,R1,7
2735,2,574498,24.6593033,-82.9498708,DT07,2,26,29.7,4,ISOL_LR,D3,R2,20
2736,2,519804,24.6433016,-82.9654266,DT08,2,26,22.3,4,CONT_HR,D3,R4,22
2737,2,587939,24.6640272,-82.9336432,DT08,2,26,24.6,4,ISOL_HR,D3,R4,22
