DRM_ID,psu_id,lat_degrees,lon_degrees,mpa_nr,subregion_nr,habitat_cd,psu_depth,prot,depth_class,rugosity_class,strat,Priority,Status,mapgrid_nr,zone_nr,region,priority_level,strat_nr,survey_type
2622,2647,24.642688,-82.943192,26,4,CONT_LR,15.9,2,D2,R3,DT05,Secondary,Not surveyed,516741,4,DRY TORT,2,16,Fish
2623,2800,24.646311,-82.871138,26,4,ISOL_MR,5.7,2,D1,R3,DT02,Secondary,Not surveyed,526223,4,DRY TORT,NA,NA,NA
2624,2801,24.64766,-82.871674,26,4,ISOL_MR,4.9,2,D1,R2,DT01,Secondary,Not surveyed,530896,4,DRY TORT,NA,NA,NA
2625,2802,24.653069,-82.832289,26,4,ISOL_MR,6.2,2,D1,RU,DT03,Secondary,Not surveyed,548154,4,DRY TORT,NA,NA,NA
2626,2607,24.656424,-82.781881,26,4,SPGR_HR,13.6,2,D2,R2,DT04,Secondary,Not surveyed,557652,4,DRY TORT,2,14,Fish
2627,2600,24.657276,-82.932057,26,4,CONT_LR,14.7,2,D2,R2,DT04,Secondary,Not surveyed,566764,4,DRY TORT,2,14,Fish
2628,2803,24.661954,-82.927247,26,4,CONT_MR,17,2,D2,R4,DT05,Secondary,Not surveyed,581686,4,DRY TORT,NA,NA,NA
2629,2577,24.668623,-82.781067,26,4,ISOL_LR,12.5,2,D2,R2,DT04,Secondary,Not surveyed,594572,4,DRY TORT,2,14,Fish
2630,2552,24.676209,-82.898755,26,4,CONT_LR,5.4,2,D1,R3,DT02,Secondary,Not surveyed,609250,4,DRY TORT,2,10,Fish
2631,2804,24.680039,-82.917627,26,4,ISOL_LR,17.9,2,D2,R2,DT04,Secondary,Not surveyed,615510,4,DRY TORT,NA,NA,NA
2632,2805,24.680811,-82.816362,26,4,ISOL_MR,5.6,2,D1,RU,DT03,Secondary,Not surveyed,615017,4,DRY TORT,NA,NA,NA
2633,2535,24.681304,-82.813785,26,4,ISOL_MR,3.8,2,D1,R2,DT01,Secondary,Not surveyed,615720,4,DRY TORT,2,9,Fish
2634,2806,24.681755,-82.815344,26,4,ISOL_MR,4.1,2,D1,RU,DT03,Secondary,Not surveyed,616415,4,DRY TORT,NA,NA,NA
2635,2609,24.685881,-82.919158,26,4,CONT_LR,15.8,2,D2,R2,DT04,Secondary,Not surveyed,624613,4,DRY TORT,2,14,Fish
2636,2807,24.686883,-82.911266,26,4,CONT_LR,13,2,D2,R3,DT05,Secondary,Not surveyed,626029,4,DRY TORT,NA,NA,NA
