psu_id,priority_level,mapgrid_nr,lat_degrees,lon_degrees,strat,prot,mpa_nr,psu_depth,subregion_nr,habitat_cd,depth_class,rugosity_class,strat_nr
2054,1,508824,24.6394754,-83.0157409,DT08,0,0,30.1,3,ISOL_MR,D3,R4,4
2055,1,525939,24.6444992,-83.0113766,DT08,0,0,30.6,3,ISOL_LR,D3,R4,4
2056,1,536893,24.6479214,-82.9916756,DT08,0,0,31.3,3,REEF_MR,D3,R3,4
2057,1,364663,24.5964231,-83.0283801,DT08,0,0,31.8,3,REEF_MR,D3,R3,4
2058,1,501065,24.6371592,-83.0201483,DT08,0,0,29.5,3,ISOL_MR,D3,R4,4
2059,1,543092,24.6494039,-83.0159003,DT08,0,0,27.2,3,ISOL_MR,D3,R4,4
2060,1,586534,24.6621982,-83.0378396,DT04,1,24,19.1,3,CONT_LR,D2,R2,5
2061,1,588921,24.6630672,-83.0403234,DT04,1,24,19.7,3,CONT_LR,D2,R2,5
2062,1,581448,24.6602991,-83.0447238,DT04,1,24,18.1,3,CONT_LR,D2,R2,5
2063,1,641291,24.6956672,-82.9993514,DT04,1,24,20.3,3,CONT_LR,D2,R2,5
2064,1,619537,24.681677,-82.9991282,DT04,1,24,20.8,3,ISOL_LR,D2,R2,5
2065,1,563345,24.6545388,-83.0698194,DT04,1,24,17.4,3,ISOL_LR,D2,R2,5
2066,1,581360,24.6597012,-83.0881798,DT04,1,24,21.4,3,CONT_LR,D2,R2,5
2067,1,596776,24.666644,-83.0428514,DT04,1,24,19.3,3,CONT_LR,D2,R2,5
2068,1,601235,24.6692911,-83.0473403,DT04,1,24,18.5,3,CONT_LR,D2,R2,5
2069,1,615252,24.6783505,-83.0450182,DT04,1,24,20.2,3,CONT_LR,D2,R2,5
2070,1,565001,24.6555692,-83.0273596,DT04,1,24,18.3,3,CONT_LR,D2,R1,5
2071,1,547719,24.6503371,-83.047031,DT04,1,24,17.3,3,CONT_LR,D2,R1,5
2072,1,589968,24.6634715,-83.0437876,DT04,1,24,19,3,CONT_LR,D2,R2,5
2073,1,547691,24.6501481,-83.0608569,DT04,1,24,15.7,3,CONT_LR,D2,R1,5
2074,1,645398,24.6976478,-83.0532386,DT05,1,24,20.5,3,CONT_HR,D2,R4,6
2075,1,593942,24.6646102,-83.0922131,DT05,1,24,20.9,3,CONT_MR,D2,R4,6
2076,1,646835,24.6987725,-83.0369521,DT05,1,24,21.4,3,CONT_LR,D2,R4,6
