"DRM_ID","psu_id","lat_degrees.x","lat_degrees.y","lon_degrees.x","lon_degrees.y","mpa_nr.x","mpa_nr.y","subregion_nr.x","subregion_nr.y","habitat_cd.x","habitat_cd.y","psu_depth.x","psu_depth.y","prot.x","prot.y","depth_class.x","depth_class.y","rugosity_class.x","rugosity_class.y","strat.x","strat.y","Priority","Status","mapgrid_nr","zone_nr","lat_deg","lon_deg","psu_vrel","Shape_Leng","Shape_Area","region","priority_level","strat_nr","survey_type"
1591,2017,24.611121,24.6111206,-83.076016,-83.0760163,0,0,3,3,"CONT_LR","CONT_LR",16.1,16.1,0,0,"D2","D2","R3","R3","DT05","DT05","Primary","Surveyed",415339,4,24.611121,-83.076016,0.287585,220.436912,3037.00356,"DRY TORT",1,2,"Fish"
1592,2021,24.619052,24.6190522,-83.089973,-83.0899727,0,0,3,3,"CONT_LR","CONT_LR",16.7,16.7,0,0,"D2","D2","R4","R4","DT05","DT05","Primary","Surveyed",442571,4,24.619052,-83.089973,0.537034,220.449071,3037.33861,"DRY TORT",1,2,"Fish"
1596,2065,24.654539,24.6545388,-83.069819,-83.0698194,24,24,3,3,"ISOL_LR","ISOL_LR",17.4,17.4,1,1,"D2","D2","R2","R2","DT04","DT04","Primary","Surveyed",563345,4,24.654539,-83.069819,0.191286,220.513557,3039.115845,"DRY TORT",1,5,"Fish"
1602,2444,24.652923,24.6529235,-83.055963,-83.0559634,24,24,3,3,"ISOL_MR","ISOL_MR",16.5,16.5,1,1,"D2","D2","R4","R4","DT05","DT05","Primary","Surveyed",557097,4,24.652923,-83.055963,0.508372,220.512322,3039.081813,"DRY TORT",2,6,"Fish"
1606,NA,24.657677,NA,-83.071353,NA,24,NA,3,NA,"CONT_LR",NA,16.9,NA,1,NA,"D2",NA,"R4",NA,"DT05",NA,"Primary","Surveyed",574252,4,24.657677,-83.071353,0.443372,220.519001,3039.265939,"DRY TORT",NA,NA,NA
1609,NA,24.659968,NA,-83.068921,NA,24,NA,3,NA,"CONT_LR",NA,16.3,NA,1,NA,"D2",NA,"R3",NA,"DT05",NA,"Primary","Surveyed",581399,4,24.659968,-83.068921,0.387292,220.523245,3039.38291,"DRY TORT",NA,NA,NA
2516,NA,24.668718,NA,-82.913418,NA,26,NA,4,NA,"CONT_LR",NA,9.7,NA,2,NA,"D1",NA,"R3",NA,"DT02",NA,"Alternate","Surveyed",597804,4,24.6688,-82.913463,0.2926,220.55584,3040.281489,"DRY TORT",NA,NA,NA
2521,NA,24.679795,NA,-82.790612,NA,26,NA,4,NA,"CONT_LR",NA,3.9,NA,2,NA,"D1",NA,"R2",NA,"DT01",NA,"Alternate","Surveyed",612971,4,24.679795,-82.790612,0.2363,220.587792,3041.162449,"DRY TORT",NA,NA,NA
2527,NA,24.692363,NA,-82.906412,NA,26,NA,4,NA,"CONT_MR",NA,11,NA,2,NA,"D1",NA,"R2",NA,"DT01",NA,"Alternate","Surveyed",634455,4,24.692363,-82.906412,0.2314,220.597922,3041.441786,"DRY TORT",NA,NA,NA
2529,NA,24.588031,NA,-82.910752,NA,26,NA,4,NA,"CONT_MR",NA,11.2,NA,2,NA,"D1",NA,"R2",NA,"DT01",NA,"Alternate","Surveyed",333541,4,24.588031,-82.910752,0.2135,220.415133,3036.403468,"DRY TORT",NA,NA,NA
2535,NA,24.700844,NA,-82.801808,NA,26,NA,4,NA,"CONT_LR",NA,3,NA,2,NA,"D1",NA,"R3",NA,"DT02",NA,"Alternate","Surveyed",645907,4,24.700878,-82.801785,0.3182,220.623661,3042.151574,"DRY TORT",NA,NA,NA
2542,NA,24.662876,NA,-82.919754,NA,26,NA,4,NA,"SPGR_LR",NA,10.3,NA,2,NA,"D1",NA,"R2",NA,"DT01",NA,"Alternate","Surveyed",584385,4,24.662851,-82.919794,0.2239,220.54477,3039.97629,"DRY TORT",NA,NA,NA
2545,NA,24.615449,NA,-82.945366,NA,26,NA,4,NA,"ISOL_MR",NA,6.1,NA,2,NA,"D1",NA,"R4",NA,"DT02",NA,"Alternate","Surveyed",424684,4,24.615577,-82.945242,0.4137,220.459459,3037.624883,"DRY TORT",NA,NA,NA
2558,NA,24.683875,NA,-82.784266,NA,26,NA,4,NA,"ISOL_MR",NA,9.2,NA,2,NA,"D1",NA,"R4",NA,"DT02",NA,"Alternate","Surveyed",619270,4,24.683933,-82.784249,0.4269,220.595565,3041.376772,"DRY TORT",NA,NA,NA
2562,NA,24.644554,NA,-82.793073,NA,26,NA,4,NA,"ISOL_MR",NA,8.7,NA,2,NA,"D1",NA,"R3",NA,"DT02",NA,"Alternate","Surveyed",517045,4,24.644554,-82.793073,0.269,220.525989,3039.458546,"DRY TORT",NA,NA,NA
2573,2380,24.617452,24.6174521,-83.075133,-83.0751333,0,0,3,3,"CONT_LR","CONT_LR",14.7,14.7,0,0,"D2","D2","R4","R4","DT05","DT05","Alternate","Surveyed",436525,4,24.617452,-83.075133,0.537034,220.448308,3037.317572,"DRY TORT",2,2,"Fish"
2578,NA,24.669244,NA,-83.050797,NA,24,NA,3,NA,"CONT_LR",NA,17.4,NA,1,NA,"D2",NA,"R2",NA,"DT04",NA,"Alternate","Surveyed",601228,4,24.669244,-83.050797,0.205941,220.541527,3039.886895,"DRY TORT",NA,NA,NA
2580,NA,24.65064,NA,-83.057902,NA,24,NA,3,NA,"CONT_LR",NA,15.9,NA,1,NA,"D2",NA,"R1",NA,"DT04",NA,"Alternate","Surveyed",549263,4,24.65064,-83.057902,0.148433,220.508161,3038.967116,"DRY TORT",NA,NA,NA
1610,NA,24.560271,NA,-82.928085,NA,0,NA,4,NA,"ISOL_LR",NA,14.2,NA,2,NA,"D2",NA,"R2",NA,"DT04",NA,"Primary","Not surveyed",253947,4,24.560274,-82.9281,0.2303,220.364971,3035.021543,"DRY TORT",NA,NA,NA
1611,2232,24.566561,24.5665611,-82.930664,-82.9306638,26,26,4,4,"CONT_LR","CONT_LR",13.6,13.6,2,2,"D2","D2","R2","R2","DT04","DT04","Primary","Not surveyed",271298,4,24.566561,-82.930664,0.2083,220.375738,3035.318157,"DRY TORT",1,14,"Fish"
1612,NA,24.587483,NA,-82.958037,NA,26,NA,4,NA,"ISOL_LR",NA,15,NA,2,NA,"D2",NA,"R2",NA,"DT04",NA,"Primary","Not surveyed",333445,4,24.587423,-82.958135,0.2096,220.408999,3036.234463,"DRY TORT",NA,NA,NA
