DRM_ID,Priority,Latitude,Longitude,Status,grid_id_50,mpa_nr,subreg_nr,zone_nr,habclass,lat_deg,lon_deg,psu_depth,psu_vrel,Shape_Leng,Shape_Area,region,prot,depth_clas,rugosity_c,strat
2558,Alternate,24.683875,-82.784266,Surveyed,619270,26,4,4,ISOL_MR,24.683933,-82.784249,9.2,0.4269,220.595565,3041.376772,DRY TORT,2,D1,R4,DT02
2562,Alternate,24.644554,-82.793073,Surveyed,517045,26,4,4,ISOL_MR,24.644554,-82.793073,8.7,0.269,220.525989,3039.458546,DRY TORT,2,D1,R3,DT02
2573,Alternate,24.617452,-83.075133,Surveyed,436525,0,3,4,CONT_LR,24.617452,-83.075133,14.7,0.537034,220.448308,3037.317572,DRY TORT,0,D2,R4,DT05
2578,Alternate,24.669244,-83.050797,Surveyed,601228,24,3,4,CONT_LR,24.669244,-83.050797,17.4,0.205941,220.541527,3039.886895,DRY TORT,1,D2,R2,DT04
2580,Alternate,24.65064,-83.057902,Surveyed,549263,24,3,4,CONT_LR,24.65064,-83.057902,15.9,0.148433,220.508161,3038.967116,DRY TORT,1,D2,R1,DT04
1610,Primary,24.560271,-82.928085,Not surveyed,253947,0,4,4,ISOL_LR,24.560274,-82.9281,14.2,0.2303,220.364971,3035.021543,DRY TORT,2,D2,R2,DT04
1611,Primary,24.566561,-82.930664,Not surveyed,271298,26,4,4,CONT_LR,24.566561,-82.930664,13.6,0.2083,220.375738,3035.318157,DRY TORT,2,D2,R2,DT04
1612,Primary,24.587483,-82.958037,Not surveyed,333445,26,4,4,ISOL_LR,24.587423,-82.958135,15,0.2096,220.408999,3036.234463,DRY TORT,2,D2,R2,DT04
1613,Primary,24.587816,-82.962585,Not surveyed,334830,26,4,4,ISOL_MR,24.587816,-82.962585,16.8,0.1808,220.409101,3036.237288,DRY TORT,2,D2,R2,DT04
1614,Primary,24.593796,-82.883192,Not surveyed,350485,26,4,4,CONT_LR,24.593796,-82.883192,8.2,0.2371,220.428136,3036.761746,DRY TORT,2,D1,R2,DT01
1615,Primary,24.594593,-82.89111,Not surveyed,353337,26,4,4,CONT_LR,24.5946,-82.891104,6,0.302,220.42881,3036.780312,DRY TORT,2,D1,R3,DT02
1616,Primary,24.595291,-82.871859,Not surveyed,354818,26,4,4,ISOL_LR,24.595291,-82.871859,6.8,0.2443,220.431992,3036.86797,DRY TORT,2,D1,R2,DT01
1617,Primary,24.595874,-82.907293,Not surveyed,357632,26,4,4,ISOL_MR,24.595748,-82.907414,11.5,0.2532,220.428975,3036.784855,DRY TORT,2,D1,R2,DT01
1618,Primary,24.597376,-82.885715,Not surveyed,362036,26,4,4,CONT_LR,24.597376,-82.885715,5,0.2604,220.434097,3036.925989,DRY TORT,2,D1,R3,DT02
1619,Primary,24.601014,-82.95146,Not surveyed,376615,26,4,4,ISOL_LR,24.601052,-82.951435,14.6,0.2136,220.433471,3036.908746,DRY TORT,2,D2,R2,DT04
1620,Primary,24.604784,-82.942112,Not surveyed,388578,26,4,4,ISOL_MR,24.604784,-82.942112,15.2,0.3184,220.440971,3037.115406,DRY TORT,2,D2,R3,DT05
